composition,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Ti,Al,B,N,V,Co,Nb+Ta,Fe,temperature,ys_value,uts_value,elo_value,roa_value
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,700,160.0,350.0,36.0,47.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,750,166.0,286.0,39.0,57.0
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,800,,,,
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,900,,,,
ACB,0.07,0.54,1.59,0.023,0.006,10.92,18.2,0.1,0.09,0.47,0.058,0.0006,0.0092,,,0.02,67.9032,1000,,,,
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,25,255.0,580.0,67.0,80.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,100,231.0,480.0,55.0,79.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,200,221.0,443.0,42.0,76.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,300,193.0,441.0,41.0,72.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,400,190.0,451.0,41.0,70.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,500,184.0,437.0,40.0,67.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,550,171.0,426.0,39.0,65.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,600,167.0,408.0,38.0,66.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,650,163.0,375.0,35.0,54.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,700,156.0,344.0,31.0,42.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,750,158.0,232.0,42.0,63.0
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,800,,,,
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,900,,,,
ACC,0.06,0.57,1.46,0.023,0.006,10.92,17.9,0.08,0.11,0.42,0.023,0.001,0.0106,,,0.02,68.3964,1000,,,,
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,25,280.0,590.0,59.0,77.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,100,260.0,509.0,47.0,76.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,200,234.0,467.0,40.0,73.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,300,249.0,459.0,36.0,69.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,400,194.0,472.0,39.0,69.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,500,217.0,454.0,38.0,66.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,550,211.0,446.0,35.0,63.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,600,200.0,421.0,37.0,68.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,650,199.0,385.0,35.0,59.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,700,186.0,323.0,33.0,53.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,750,174.0,261.0,31.0,48.0
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,800,,,,
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,900,,,,
ACG,0.08,0.53,1.6,0.023,0.007,12.61,18.61,0.09,0.08,0.51,0.065,0.0001,0.0083,,,0.01,65.7766,1000,,,,
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,25,270.0,590.0,59.0,77.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,100,268.0,505.0,45.0,76.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,200,244.0,462.0,40.0,73.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,300,223.0,457.0,37.0,71.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,400,202.0,462.0,39.0,68.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,500,224.0,454.0,36.0,68.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,550,196.0,440.0,35.0,66.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,600,188.0,426.0,37.0,67.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,650,178.0,378.0,38.0,59.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,700,191.0,299.0,34.0,42.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,750,171.0,252.0,42.0,44.0
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,800,,,,
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,900,,,,
ACH,0.068,0.47,1.59,0.023,0.015,12.46,18.82,0.09,0.08,0.52,0.02,0.0007,0.0074,,,0.01,65.8259,1000,,,,
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,25,310.0,600.0,60.0,77.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,100,254.0,518.0,47.0,74.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,200,244.0,477.0,41.0,76.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,300,228.0,480.0,40.0,72.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,400,218.0,482.0,38.0,66.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,500,237.0,477.0,37.0,63.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,550,212.0,471.0,36.0,64.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,600,211.0,445.0,35.0,66.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,650,193.0,405.0,37.0,57.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,700,185.0,339.0,34.0,41.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,750,183.0,270.0,37.0,50.0
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,800,,,,
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,900,,,,
ACJ,0.078,0.55,1.65,0.023,0.006,12.55,18.7,0.16,0.06,0.55,0.029,0.0003,0.008,,,0.01,65.6257,1000,,,,
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,25,220.0,560.0,69.0,80.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,100,187.0,471.0,52.0,78.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,200,181.0,437.0,44.0,77.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,300,164.0,434.0,41.0,73.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,400,158.0,442.0,44.0,67.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,500,150.0,431.0,41.0,69.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,550,143.0,429.0,42.0,65.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,600,139.0,398.0,38.0,68.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,650,138.0,378.0,37.0,57.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,700,137.0,321.0,29.0,37.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,750,132.0,257.0,33.0,40.0
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,800,,,,
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,900,,,,
ACL,0.06,0.55,1.56,0.026,0.01,12.27,18.02,0.02,0.06,0.49,0.121,0.0005,0.014,,,0.01,66.7885,1000,,,,
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,25,225.0,550.0,66.0,82.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,100,204.0,472.0,52.0,77.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,200,183.0,439.0,44.0,73.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,300,177.0,439.0,42.0,72.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,400,166.0,444.0,42.0,66.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,500,161.0,436.0,38.0,69.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,550,155.0,432.0,42.0,66.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,600,142.0,409.0,40.0,62.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,650,150.0,375.0,32.0,40.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,700,146.0,309.0,38.0,31.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,750,172.0,249.0,42.0,47.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,800,126.0,20.0,39.0,4.0
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,900,,,,
ACM,0.06,0.54,1.67,0.028,0.016,12.62,17.71,0.02,0.05,0.53,0.161,0.0002,0.013,,,0.01,66.5718,1000,,,,
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,25,180.0,540.0,71.0,82.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,100,178.0,463.0,54.0,82.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,200,169.0,427.0,46.0,79.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,300,143.0,429.0,46.0,77.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,400,171.0,439.0,46.0,73.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,500,136.0,417.0,45.0,72.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,550,126.0,416.0,41.0,67.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,600,127.0,396.0,43.0,70.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,650,121.0,347.0,40.0,58.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,700,119.0,288.0,32.0,40.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,750,117.0,263.0,40.0,47.0
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,800,,,,
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,900,,,,
ACN,0.06,0.61,1.74,0.02,0.006,12.59,17.86,0.25,0.06,0.39,0.04,0.001,0.019,,,0.01,66.344,1000,,,,
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,25,224.0,578.0,68.0,81.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,100,198.0,509.0,54.0,81.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,200,175.0,480.0,47.0,77.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,300,160.0,480.0,46.0,76.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,400,146.0,485.0,44.0,70.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,500,141.0,475.0,47.0,70.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,550,146.0,460.0,45.0,68.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,600,129.0,419.0,46.0,72.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,650,136.0,343.0,44.0,64.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,700,135.0,307.0,60.0,65.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,750,125.0,234.0,64.0,66.0
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,800,,,,
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,900,,,,
AAA,0.06,0.59,1.69,0.024,0.017,13.32,16.73,2.38,0.07,0.011,0.015,0.001,0.03,,,0.02,65.042,1000,,,,
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,25,213.0,568.0,68.0,81.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,100,202.0,498.0,55.0,78.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,200,173.0,461.0,46.0,79.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,300,151.0,461.0,43.0,73.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,400,140.0,462.0,45.0,71.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,500,135.0,450.0,44.0,72.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,550,125.0,431.0,46.0,71.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,600,134.0,405.0,46.0,72.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,650,122.0,346.0,49.0,71.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,700,114.0,286.0,59.0,60.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,750,120.0,242.0,69.0,66.0
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,800,,,,
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,900,,,,
AAB,0.05,0.52,1.51,0.021,0.01,13.21,16.42,2.34,0.14,0.011,0.018,0.0005,0.034,,,0.01,65.7055,1000,,,,
